x,ya,yb,yc,yd
4.3,-0.5,-0.5,-0.5,1.0
4.31,-0.5,-0.5,-0.5,1.0
4.32,-0.5,-0.5,-0.5,1.0
4.33,-0.5,-0.5,-0.5,1.0
4.34,-0.5,-0.5,-0.5,1.0
4.35,-0.5,-0.5,-0.5,1.0
4.36,-0.5,-0.5,-0.5,1.0
4.37,-0.5,-0.5,-0.5,1.0
4.38,-0.5,-0.5,-0.5,1.0
4.39,-0.5,-0.5,-0.5,1.0
4.3999999999999995,-0.5,-0.5,-0.5,1.0
4.41,-0.5,-0.5,-0.5,1.0
4.42,-0.5,-0.5,-0.5,1.0
4.43,-0.5,-0.5,-0.5,1.0
4.44,-0.5,-0.5,-0.5,1.0
4.45,-0.5,-0.5,-0.5,1.0
4.46,-0.5,-0.5,-0.5,1.0
4.47,-0.5,-0.5,-0.5,1.0
4.4799999999999995,-0.5,-0.5,-0.5,1.0
4.49,-0.5,-0.5,-0.5,1.0
4.5,-0.5,-0.5,-0.5,1.0
