r,tau,v
2.5100000000000002,0.1,0.002033663094049118
2.52,0.1,0.0019788777906482053
2.5300000000000002,0.1,0.0019261371451153005
2.54,0.1,0.0018753803273893564
2.5500000000000003,0.1,0.001826548832793605
2.56,0.1,0.001779586408190011
2.57,0.1,0.0017344389810323155
2.58,0.1,0.0016910545912179097
2.59,0.1,0.0016493833256467727
2.6,0.1,0.0016093772553963672
2.61,0.1,0.0015709903754219188
2.62,0.1,0.0015341785467039779
2.63,0.1,0.001498899440755566
2.64,0.1,0.0014651124864254778
2.65,0.1,0.0014327788189336733
2.66,0.1,0.0014018612310775784
2.67,0.1,0.0013723241265503096
2.68,0.1,0.0013441334753334902
2.69,0.1,0.0013172567711391722
2.7,0.1,0.0012916629908565054
2.71,0.1,0.001267322555988333
2.72,0.1,0.0012442072960166313
2.73,0.1,0.0012222904136366406
2.74,0.1,0.0012015464517039823
2.75,0.1,0.001181951261601314
2.7600000000000002,0.1,0.001163481972476959
2.77,0.1,0.001146116960369236
2.7800000000000002,0.1,0.0011298358155188621
2.79,0.1,0.0011146193050250136
2.8000000000000003,0.1,0.0011004493262243027
2.81,0.1,0.0010873088434879498
2.82,0.1,0.0010751817971599298
2.83,0.1,0.0010640529676418395
2.84,0.1,0.0010539077696278749
2.85,0.1,0.0010447319406842446
2.86,0.1,0.0010365110742793417
2.87,0.1,0.0010292299301507255
2.88,0.1,0.0010228714354143095
2.89,0.1,0.0010174152712058794
2.9,0.1,0.0010128359283364471
2.91,0.1,0.0010091001242006391
2.92,0.1,0.0010061635250370644
2.93,0.1,0.0010039668523531785
2.94,0.1,0.001002431735799378
2.95,0.1,0.0010014572132578683
2.96,0.1,0.0010009187386619087
2.97,0.1,0.0010006731933566598
2.98,0.1,0.0010005760866283273
2.99,0.1,0.001000521426766989
3.0,0.1,0.001000521426766989
0.0,0.2,0.0
0.01,0.2,0.00541557048289497
0.02,0.2,0.010828800352112979
0.03,0.2,0.01623688310120487
0.04,0.2,0.021637142182430253
0.05,0.2,0.02702691959675453
0.06,0.2,0.03240356264413153
0.07,0.2,0.03776442074428822
0.08,0.2,0.04310684467967612
0.09,0.2,0.04842818661646285
0.1,0.2,0.053725800408996056
0.11,0.2,0.058997042012560785
0.12,0.2,0.06423926993823734
0.13,0.2,0.06944984572569946
0.14,0.2,0.0746261344271624
0.15,0.2,0.07976550510302256
0.16,0.2,0.08486533133278477
0.17,0.2,0.08992299174598846
0.18,0.2,0.0949358705781037
0.19,0.2,0.09990135825628248
0.2,0.2,0.10481685201962593
0.21,0.2,0.10967975657836153
0.22,0.2,0.11448748481610545
0.23,0.2,0.11923745853918613
0.24,0.2,0.12392710927684177
0.25,0.2,0.12855387913599947
0.26,0.2,0.13311522171425064
0.27,0.2,0.13760860307456674
0.28,0.2,0.14203150278528706
0.29,0.2,0.14638141502887286
0.3,0.2,0.15065584978292418
0.31,0.2,0.1548523340769463
0.32,0.2,0.15896841332836814
0.33,0.2,0.16300165276132594
0.34,0.2,0.16694963891173115
0.35000000000000003,0.2,0.17080998122215132
0.36,0.2,0.1745803137300279
0.37,0.2,0.17825829685277372
0.38,0.2,0.18184161927325673
0.39,0.2,0.18532799992916688
0.4,0.2,0.1887151901097331
0.41000000000000003,0.2,0.19200097566319288
0.42,0.2,0.19518317931836898
0.43,0.2,0.19825966312359253
0.44,0.2,0.20122833100612955
0.45,0.2,0.20408713145510798
0.46,0.2,0.20683406033078514
0.47000000000000003,0.2,0.20946716380277383
0.48,0.2,0.2119845414196204
